500  2   10 

3.51	8.23	1

1.15	7.98	1

0.36	9.5	1

0.75	8.45	1

0.73	8.27	1

-0.1	7.94	1

-0.18	6.3	1

3.26	6.88	1

-0.88	7.83	1

-1.9	7.67	1

2.69	8.71	1

-0.27	8.91	1

2.44	9.5	1

-1.01	8.5	1

-0.89	9.21	1

3.21	7.17	1

1.35	7.64	1

-0.03	8.47	1

3.28	7.86	1

-0.01	7.68	1

3.19	8.95	1

-0.54	8.18	1

0.39	7.13	1

2.75	9.17	1

0.08	7.1	1

-0.42	7.61	1

-1.24	7.36	1

-1.87	8.33	1

-1.38	8.78	1

-0.83	8.1	1

0.64	6.72	1

-0.15	6.55	1

0.36	8.75	1

-0.63	6.76	1

1.37	7.87	1

-1.7	8.83	1

2.58	8.09	1

0.18	7.66	1

-1.26	7.62	1

1.37	9.06	1

-0.09	6.72	1

2.72	8.73	1

-0.03	9.43	1

2.38	6.71	1

-0.5	9.21	1

-1.18	6.92	1

-1.68	7.51	1

0.17	9.49	1

1.28	7.82	1

0.31	6.54	1

6.23	3.1	2

6.77	4.38	2

7.09	3.27	2

2.45	4.39	2

6.59	4.56	2

4.22	2.94	2

3.66	5.42	2

2.96	5	2

5.64	4.64	2

3.12	5.01	2

5.39	5.66	2

3.84	5.67	2

3.47	2.65	2

6.53	3.05	2

4.3	3.71	2

3.38	4.3	2

5.03	2.61	2

5.23	5.38	2

7.11	3.54	2

2.55	3.35	2

6.39	2.91	2

5.97	4.79	2

3.57	3.75	2

2.96	3.88	2

5.74	5.3	2

3.13	5.29	2

6.22	3.43	2

4.95	3.88	2

5.42	2.29	2

3.42	3.83	2

4.3	4.15	2

2.97	3.89	2

2.73	4.98	2

4.12	3.66	2

6.13	3.26	2

4.91	2.3	2

2.9	5.06	2

2.35	3.55	2

7.36	4.95	2

5.71	2.66	2

6.56	4.28	2

3.65	5.28	2

6.44	2.52	2

3.1	2.9	2

3.72	3.89	2

3.77	3.29	2

6.1	2.2	2

3.9	3.49	2

4.12	4.97	2

3.8	3.71	2

0.74	-5.26	3

-0.22	-6.19	3

-1.44	-6.59	3

-1.81	-6.49	3

0.54	-5.04	3

-3.06	-7.39	3

0.14	-6.69	3

-1.81	-7.64	3

-3.01	-5.02	3

-3.8	-4.65	3

-0.96	-5.37	3

-1.51	-4.37	3

-1.28	-7.34	3

-4.64	-5.19	3

-2.34	-7.03	3

-4.69	-6.23	3

0.09	-6.91	3

-1.14	-6.33	3

-1.91	-4.32	3

-0.82	-4.39	3

-4.51	-5.64	3

-3.06	-4.23	3

0.8	-6.32	3

-1.87	-5.2	3

-1.5	-6.57	3

-0.79	-4.58	3

-0.38	-5.96	3

-4.15	-6.54	3

-3.4	-7.2	3

-0.32	-6.29	3

-2.73	-4.26	3

-3.34	-5.03	3

0.1	-4.95	3

-1.17	-4.98	3

-2.93	-5.28	3

-3.71	-6.66	3

-0.27	-7.33	3

-3.05	-7.13	3

-3.03	-7.27	3

-1.8	-7.12	3

-2.04	-4.33	3

-2.72	-4.49	3

-3.25	-5.96	3

-3.86	-7.34	3

-0.34	-6.89	3

0.28	-7.09	3

-3.83	-7.1	3

-2.24	-5.96	3

-0.44	-7.1	3

-3.06	-4.57	3

0.57	1.59	4

-1.1	0.14	4

-0.46	-1.79	4

2.72	-0.34	4

0.97	-0.3	4

0.45	-1.17	4

-1.24	-0.78	4

1.82	0.34	4

0.86	1.69	4

-0.76	-1.92	4

0.26	-0.42	4

1.93	-1.25	4

0.45	0.1	4

-2	0.1	4

2.24	0.82	4

-1.12	1.84	4

1.67	0.82	4

-0.64	-1.36	4

-1.17	1.43	4

0.24	-1.9	4

1.26	-1.43	4

-0.68	0.03	4

-2.25	-1.11	4

-0.6	-1.72	4

1.25	0.68	4

-0.71	-1.38	4

0.61	-1.83	4

-1.27	0.98	4

-1.78	-0.14	4

0.26	-1.05	4

1.49	1.3	4

-2.67	-0.53	4

1.22	-1.52	4

-0.76	1.62	4

-0.26	-0.74	4

-0.64	0.39	4

2.66	0.22	4

-0.62	-0.75	4

1.75	0.4	4

2.69	-0.21	4

0.6	-1.84	4

-0.19	1.94	4

-2.72	0.76	4

-2.34	0.73	4

-0.08	-0.06	4

-0.71	0.75	4

1.62	0.3	4

0.03	1.58	4

-1.34	0.95	4

-1.93	1.32	4

8.4	0.95	5

12.67	-0.43	5

11.25	-1.81	5

11.74	-0.54	5

11.83	0.55	5

10.2	-0.81	5

8.66	-1.11	5

9.32	-1.42	5

10.37	-0.59	5

9.23	0.43	5

11.26	-1.32	5

12.18	-0.46	5

9.15	-1.48	5

9.94	0.34	5

11.77	-0.88	5

11.81	0.31	5

13.06	0.02	5

12.45	-0.7	5

10.91	-0.86	5

8.85	-0.51	5

10.34	0.15	5

9.99	-0.31	5

11.09	1.02	5

13.07	1.08	5

10.23	-1.75	5

9.04	1.05	5

12.25	-0.38	5

9.91	0.62	5

9.13	0.24	5

11.69	0.28	5

12.58	0.69	5

9.23	-0.66	5

10.49	-0.05	5

12.34	-0.87	5

8.89	0.78	5

8.07	0.3	5

12	0.8	5

12.82	-1.32	5

10.06	-0.04	5

10.62	0.68	5

9.72	0.32	5

10.6	-1.34	5

8.38	0.14	5

12.29	0.89	5

